hgnc_symbol,ensembl_id,tier,cluster_id,dominant_direction,average_log2fc,neg_log10_min_p,n_datasets_sig,direction_score,n_pathways
BANK1,ENSG00000153064,3,12,up,0.06522183900934579,10.0,2,0.5,1
BCAM,ENSG00000187244,3,32,up,0.08006693292763235,6.679698666694219,3,0.6666666666666666,0
BCAR3,ENSG00000137936,3,32,up,0.2504100110427558,10.0,2,1.0,0
BCL3,ENSG00000069399,3,32,up,0.17345269459430437,10.0,2,1.0,0
BORCS5,ENSG00000165714,3,12,up,0.22011904342913216,10.0,2,0.5,1
C12orf42,ENSG00000179088,3,32,down,-0.21625176861561912,10.0,2,1.0,0
CABLES1,ENSG00000134508,3,32,up,0.13473506323163945,10.0,2,1.0,1
CACNA2D3,ENSG00000157445,3,23,down,-0.43916321883393833,10.0,3,1.0,3
CADM2,ENSG00000175161,3,0,down,-0.26222369001969575,10.0,3,1.0,6
CAMK1D,ENSG00000183049,3,12,up,-0.10871122807931016,9.000372354046668,2,0.5,1
CASTOR3P,ENSG00000239521,3,18,up,0.24661079557324359,7.4569144483162475,2,1.0,0
CCDC91,ENSG00000123106,3,9,down,-0.24069588058606212,5.356786648521651,3,1.0,0
CD33,ENSG00000105383,3,26,up,0.042958693918917754,10.0,2,1.0,3
CDCA7,ENSG00000144354,3,11,up,0.060196532974203076,2.5654899542478073,2,0.5,0
CDH13,ENSG00000140945,3,0,down,-0.6088293987749994,10.0,3,1.0,7
CDH4,ENSG00000179242,3,0,up,0.0242404407513767,1.5628668477550711,2,1.0,7
CDKAL1,ENSG00000145996,3,12,up,-0.024481349617052,10.0,2,0.5,0
CEACAM19,ENSG00000186567,3,5,up,0.14946294981348296,10.0,4,0.75,0
CEACAM22P,ENSG00000230666,3,11,up,-0.0815474030021255,5.719494617412989,2,0.5,0
CHID1,ENSG00000177830,3,28,down,-0.18772368030670253,10.0,2,1.0,1
CHRM3,ENSG00000133019,3,16,down,-0.5609056741721186,10.0,3,1.0,6
CHST10,ENSG00000115526,3,32,down,-0.034452243410664406,2.7866528450799035,3,0.6666666666666666,0
CHST12,ENSG00000136213,3,4,up,0.2713389233341643,10.0,3,1.0,1
CKAP5,ENSG00000175216,3,5,down,-0.21912123222409557,10.0,4,0.75,2
CLASRP,ENSG00000104859,3,4,up,0.1574116469358759,9.460870523965097,3,1.0,0
CLPTM1,ENSG00000104853,3,32,up,-0.09680286213348702,4.295997277367457,3,0.6666666666666666,0
CLYBL,ENSG00000125246,3,18,down,-0.20844575465514328,3.945151528123179,2,1.0,0
CNGB1,ENSG00000070729,3,11,up,0.052600455550852826,10.0,2,0.5,1
CNN2,ENSG00000064666,3,32,up,0.16471298398460993,10.0,2,1.0,3
CNTNAP2,ENSG00000174469,3,32,down,-0.42729434972409414,10.0,2,1.0,2
COL25A1,ENSG00000188517,3,18,up,0.004942644381329275,6.4229428984801435,2,1.0,2
COL6A3,ENSG00000163359,3,32,up,0.04067382521012237,10.0,2,1.0,5
COLQ,ENSG00000206561,3,18,down,-0.15205818042676167,2.8095409660371335,2,1.0,0
CST4,ENSG00000101441,3,9,up,0.1610607112974588,3.5742002844339686,3,1.0,0
CTNNA2,ENSG00000066032,3,7,down,-0.14876857338486973,10.0,3,0.6666666666666666,1
CTNND2,ENSG00000169862,3,11,up,-0.025848915071171995,4.464583658891368,2,0.5,1
CUL3,ENSG00000036257,3,3,down,-0.4060178362530891,10.0,2,1.0,10
CYB561,ENSG00000008283,3,32,down,0.003109094121564575,9.710444318728298,2,1.0,0
CYCS,ENSG00000172115,3,8,down,-0.2502077225483499,10.0,3,1.0,10
CYRIA,ENSG00000197872,3,6,down,-0.18808177598286477,10.0,3,1.0,1
CYYR1,ENSG00000166265,3,4,up,0.507999998412659,10.0,3,1.0,0
DACH2,ENSG00000126733,3,16,down,-0.651939698413979,10.0,3,1.0,0
DCHS2,ENSG00000197410,3,32,down,0.031257607068369324,10.0,2,1.0,1
DEDD,ENSG00000158796,3,11,up,0.0337193047192352,6.781348571955731,2,0.5,0
DGKI,ENSG00000157680,3,28,down,-0.36810618152249597,10.0,3,1.0,3
DLG2,ENSG00000150672,3,19,down,-0.23930638238413082,10.0,3,1.0,8
DOCK1,ENSG00000150760,3,1,up,0.20417633568312865,10.0,3,1.0,6
DOCK3,ENSG00000088538,3,1,down,-0.4060146532082074,8.945924714571229,2,1.0,4
DOCK4,ENSG00000128512,3,1,up,0.11375611770244116,10.0,2,1.0,6
DSG2,ENSG00000046604,3,11,up,-0.10825396254568932,9.2727579321714,2,0.5,1
DYSF,ENSG00000135636,3,32,up,0.16845984753897966,10.0,2,1.0,1
ECHDC3,ENSG00000134463,3,4,up,0.1604687347063336,10.0,3,1.0,0
EFL1,ENSG00000140598,3,32,down,-0.18292232117505264,4.587266737596608,3,0.6666666666666666,0
EGFLAM,ENSG00000164318,3,32,up,0.12785890784277937,8.610285779270713,2,1.0,0
EGFR,ENSG00000146648,3,33,up,0.25786666817585374,10.0,2,1.0,27
ELOVL3,ENSG00000119915,3,18,down,-0.03549838315047073,5.416524323241457,2,1.0,0
ENOPH1,ENSG00000145293,3,2,down,-0.30078439906523946,10.0,4,1.0,0
ETV1,ENSG00000006468,3,17,down,-0.17515251033119672,10.0,3,1.0,2
EXOC3L2,ENSG00000283632,3,32,up,0.13230158591858884,6.283717771042635,3,0.6666666666666666,0
EXOC4,ENSG00000131558,3,32,down,-0.1040930143338957,10.0,2,1.0,2
FABP6,ENSG00000170231,3,32,down,-0.2497259034264428,10.0,2,1.0,1
FAM135B,ENSG00000147724,3,18,down,-0.09613212793001684,5.545302422368664,2,1.0,0
FANCD2OS,ENSG00000163705,3,18,up,0.1092101709889968,6.670607849930782,2,1.0,0
FAR2,ENSG00000064763,3,16,down,-0.519715102947568,10.0,3,1.0,0
FARP1,ENSG00000152767,3,1,up,0.15835598347188526,10.0,2,0.5,4
FBP1,ENSG00000165140,3,32,up,-0.021041009768320497,10.0,2,1.0,2
FBXL7,ENSG00000183580,3,3,up,0.20785372086120116,10.0,3,1.0,2
FBXO40,ENSG00000163833,3,3,down,-0.20555324315584284,2.6165513834234426,2,1.0,2
FLNB,ENSG00000136068,3,32,up,0.09745977948039974,10.0,2,1.0,1
FOXP2,ENSG00000128573,3,0,down,-0.09011939043856317,10.0,2,1.0,5
FRMD4B,ENSG00000114541,3,18,up,0.22173616513175476,4.7108218778435695,2,1.0,0
FSTL5,ENSG00000168843,3,6,down,-0.2864762030655512,10.0,3,1.0,0
GABRG3,ENSG00000182256,3,23,down,-0.09826378698114083,10.0,2,1.0,7
GALNT15,ENSG00000131386,3,4,up,0.2666036801968486,10.0,3,1.0,0
GATAD2A,ENSG00000167491,3,32,up,0.2528227816549878,10.0,4,1.0,5
GEMIN7,ENSG00000142252,3,32,down,-0.19828859626985498,6.570110689807731,3,0.6666666666666666,1
GNPNAT1,ENSG00000100522,3,11,up,-0.09141517425606809,5.440744040974965,2,0.5,0
GPR141,ENSG00000187037,3,32,down,4.9497074975746874e-05,5.72074543179578,3,0.6666666666666666,0
GRIK2,ENSG00000164418,3,23,down,-0.2524260367789991,10.0,2,1.0,4
GRIN3B,ENSG00000116032,3,-1,up,-0.14332495280223947,2.5022560216527667,2,0.5,7
GRK5,ENSG00000198873,3,32,up,0.08504761769931372,6.644242872870486,3,0.6666666666666666,3
GRM8,ENSG00000179603,3,32,down,-0.17246314681050073,10.0,2,1.0,2
H4C8,ENSG00000158406,3,0,up,0.0328148603037045,10.0,2,1.0,15
HACL1,ENSG00000131373,3,2,down,-0.44129915275791537,10.0,4,1.0,0
HBEGF,ENSG00000113070,3,33,up,0.019271182074555995,10.0,2,1.0,14
HCN1,ENSG00000164588,3,19,down,-0.20411388928077123,10.0,2,1.0,1
HDAC9,ENSG00000048052,3,18,down,-0.08438665974605253,3.849789408858544,2,1.0,4
ICE1,ENSG00000164151,3,2,down,-0.20976713577463812,8.65771081928171,4,1.0,0
IMMP2L,ENSG00000184903,3,6,down,-0.17885444037004325,10.0,3,1.0,0
IQCK,ENSG00000174628,3,5,up,0.09761430122190239,10.0,4,0.5,0
IQGAP2,ENSG00000145703,3,1,up,0.13162659156014164,10.0,2,1.0,7
KAZN,ENSG00000189337,3,18,up,0.23135112688950873,5.389554065490423,2,1.0,0
KCNH1,ENSG00000143473,3,19,down,-0.3456140854428072,10.0,3,1.0,2
KCNN2,ENSG00000080709,3,19,down,-0.23615482834291213,10.0,3,1.0,1
KLHL29,ENSG00000119771,3,6,down,-0.20833084575229846,10.0,3,1.0,0
KRAS,ENSG00000133703,3,-1,down,-0.2121581327093161,10.0,2,1.0,31
LILRA5,ENSG00000187116,3,4,up,0.1130007337895302,10.0,3,1.0,3
LIN9,ENSG00000183814,3,32,up,0.12880272330181322,10.0,2,1.0,0
LINC03122,ENSG00000178722,3,32,down,-0.009356315732559496,8.068222537571916,2,1.0,0
LINGO1,ENSG00000169783,3,6,down,-0.2443590894384029,10.0,3,1.0,1
LINGO2,ENSG00000174482,3,30,down,-0.1840261112904284,10.0,3,0.6666666666666666,0
LRFN2,ENSG00000156564,3,20,down,-0.2339856726407869,10.0,3,1.0,2
LRP1B,ENSG00000168702,3,11,up,0.09732126573768263,4.781665577751701,2,0.5,0
LRRC4C,ENSG00000148948,3,29,down,-0.3053996671213477,10.0,3,1.0,3
LSAMP,ENSG00000185565,3,18,up,0.09258380076146956,4.0338793592304905,2,1.0,0
LTBP1,ENSG00000049323,3,30,up,0.18547267647527135,10.0,3,0.6666666666666666,2
LUZP2,ENSG00000187398,3,11,up,0.03465801214845622,2.5311247219571715,2,0.5,0
MACROD2,ENSG00000172264,3,32,down,-0.13535290051423024,3.42719116583356,3,0.6666666666666666,0
MAD1L1,ENSG00000002822,3,11,up,-0.19938311264248756,4.7543924213049875,2,0.5,2
MAGI2,ENSG00000187391,3,32,down,-0.12296425083867503,10.0,2,1.0,5
MAP4K4,ENSG00000071054,3,2,up,0.3922527897717351,10.0,4,1.0,1
MECOM,ENSG00000085276,3,32,up,0.5135209854418034,9.696135916260372,2,1.0,5
MGMT,ENSG00000170430,3,9,down,-0.1795190722418504,3.6676969214682265,3,1.0,2
MIR646HG,ENSG00000228340,3,32,up,0.15318432599064966,8.797756270280503,2,1.0,0
MLLT3,ENSG00000171843,3,17,up,0.13098212702638629,10.0,3,1.0,1
MLPH,ENSG00000115648,3,32,up,0.18058332466464097,10.0,2,1.0,0
MS4A3,ENSG00000149516,3,30,down,0.055656433339917814,8.57577928564168,3,0.6666666666666666,1
MS4A6A,ENSG00000110077,3,5,up,0.3285684019513063,10.0,4,0.75,0
MSR1,ENSG00000038945,3,11,up,0.1074216319629098,7.38779259308604,2,0.5,0
MSRA,ENSG00000175806,3,5,down,-0.20272438201386267,10.0,4,0.75,0
MTMR2,ENSG00000087053,3,6,down,-0.15322024193998476,10.0,3,1.0,0
MYO16,ENSG00000041515,3,6,down,-0.2417694851185627,10.0,3,1.0,0
NCKAP5,ENSG00000176771,3,4,up,0.21008732733297705,10.0,3,1.0,0
NDUFA10,ENSG00000130414,3,8,down,-0.24958694764923642,10.0,3,0.6666666666666666,13
NECAB1,ENSG00000123119,3,16,down,-0.6040065662251767,10.0,3,1.0,0
NECTIN2,ENSG00000130202,3,0,up,0.1919053306550467,10.0,3,1.0,8
NEGR1,ENSG00000172260,3,32,down,-0.3319638446397207,10.0,2,1.0,2
NFIC,ENSG00000141905,3,2,up,0.5372957105090489,10.0,4,1.0,0
NKAIN2,ENSG00000188580,3,18,down,-0.26400461869075037,4.2398627877502415,2,1.0,0
NOTCH1,ENSG00000148400,3,32,up,0.461849429042926,10.0,4,1.0,7
NPY,ENSG00000122585,3,16,down,-0.4948736153084385,10.0,3,1.0,2
NRXN1,ENSG00000179915,3,20,down,-0.3192168697897035,10.0,2,1.0,4
NTM,ENSG00000182667,3,32,down,-0.04383591511427623,10.0,2,1.0,0
OARD1,ENSG00000124596,3,32,down,-0.11709736336894452,10.0,2,1.0,0
OGA,ENSG00000198408,3,9,down,-0.2364688421227295,4.653538291652543,3,1.0,0
OSBP2,ENSG00000184792,3,4,up,0.3559232370091096,8.34141001740495,3,1.0,0
PAK2,ENSG00000180370,3,1,up,0.1679989223840542,10.0,2,1.0,15
PCSK5,ENSG00000099139,3,2,up,0.4059027161061221,10.0,4,1.0,1
PDE10A,ENSG00000112541,3,11,up,-0.24305450725310718,10.0,2,0.5,1
PDE4D,ENSG00000113448,3,11,down,-0.1089524900392597,7.19111180868109,3,0.6666666666666666,1
PDS5B,ENSG00000083642,3,2,down,-0.2396805553250354,10.0,4,1.0,0
PFDN1,ENSG00000113068,3,2,down,-0.4047293593746161,10.0,4,1.0,0
PILRA,ENSG00000085514,3,4,up,0.12998720195326957,10.0,3,1.0,1
PIWIL1,ENSG00000125207,3,11,up,0.042619939342578496,8.295303021308413,2,0.5,0
PLCL1,ENSG00000115896,3,32,down,-0.0745515591716329,2.808909374758595,3,0.6666666666666666,0
PLEKHG1,ENSG00000120278,3,1,up,0.16624604180020716,10.0,3,1.0,3
PRDM9,ENSG00000164256,3,32,up,-0.022836565486758602,3.423611642588503,3,0.6666666666666666,2
PRKG1,ENSG00000185532,3,18,up,0.16242079739260173,7.027087326766913,2,1.0,3
PTPRD,ENSG00000153707,3,20,up,-0.013862827426961391,3.2221591233113216,3,0.6666666666666666,4
PTPRN2,ENSG00000155093,3,16,down,-0.4942079080781729,10.0,3,1.0,1
PUM3,ENSG00000080608,3,12,up,-0.04500076229837957,10.0,2,0.5,0
PWWP2A,ENSG00000170234,3,18,up,0.16082360304623522,5.807251656419215,2,1.0,0
RAD23B,ENSG00000119318,3,6,down,-0.2846474970327473,10.0,3,1.0,0
RAPSN,ENSG00000165917,3,12,up,0.026834411624050203,9.504339429832307,2,0.5,0
RBFOX1,ENSG00000078328,3,16,down,-0.3976767505677219,10.0,3,1.0,0
RBM34,ENSG00000188739,3,6,down,-0.054905935275138,9.427494754509734,3,1.0,0
RBMS3,ENSG00000144642,3,4,up,0.26664719293994343,10.0,3,1.0,0
RELB,ENSG00000104856,3,11,up,0.10054576272834245,4.176099467123209,2,0.5,3
RIMBP2,ENSG00000060709,3,16,down,-0.5778012090042919,10.0,3,1.0,0
ROBO1,ENSG00000169855,3,29,down,-0.1657633652513291,10.0,3,1.0,2
ROBO2,ENSG00000185008,3,29,down,-0.40589251321414854,10.0,3,1.0,2
RORA,ENSG00000069667,3,32,up,0.289399481815838,10.0,2,1.0,1
RPS6KA2,ENSG00000071242,3,23,up,0.09955859425357128,10.0,2,1.0,10
SDK1,ENSG00000146555,3,0,down,-0.026484435882649874,5.775100682290319,2,1.0,3
SLC24A2,ENSG00000155886,3,18,down,-0.12649550038812452,2.4460760940714557,2,1.0,0
SLC26A1,ENSG00000145217,3,4,up,0.17954335261325674,10.0,3,1.0,2
SLC2A13,ENSG00000151229,3,16,down,-0.3607106316918473,10.0,3,1.0,0
SLC52A3,ENSG00000101276,3,32,up,0.14216327694729997,10.0,2,1.0,0
SMARCA2,ENSG00000080503,3,6,down,-0.13684313200845424,10.0,3,1.0,5
SMARCA4,ENSG00000127616,3,0,down,-0.17308864920536468,10.0,2,1.0,12
SMARCC1,ENSG00000173473,3,4,up,0.27421007432107797,10.0,3,1.0,5
SMOX,ENSG00000088826,3,32,up,0.5140024984038595,10.0,2,1.0,0
SNX18,ENSG00000178996,3,4,up,0.17192318764024395,10.0,3,1.0,2
SPATC1,ENSG00000186583,3,32,down,0.09158671689317263,1.8139780169860835,3,0.6666666666666666,0
SPATS2,ENSG00000123352,3,12,up,0.006394360549845949,10.0,2,0.5,0
SQSTM1,ENSG00000161011,3,11,up,-0.053139659594974964,2.6398549352633625,2,0.5,10
ST18,ENSG00000147488,3,18,up,0.20124840843630756,3.461118945919419,2,1.0,0
STC1,ENSG00000159167,3,32,up,0.3037106467903163,10.0,2,1.0,0
STK24,ENSG00000102572,3,18,down,-0.08308254992877492,4.720615430483658,2,1.0,0
STK32B,ENSG00000152953,3,11,up,0.06198286105579113,7.3245697518324615,2,0.5,0
STMN4,ENSG00000015592,3,16,down,-0.4279005909784583,10.0,3,1.0,0
SYN2,ENSG00000157152,3,23,down,-0.670028779737935,10.0,2,1.0,2
TBXAS1,ENSG00000059377,3,32,up,0.09131072343382687,10.0,2,1.0,1
TENM2,ENSG00000145934,3,6,down,-0.21362582152230364,10.0,3,1.0,0
TENT5A,ENSG00000112773,3,4,up,0.2849204094154246,10.0,3,1.0,0
THSD7A,ENSG00000005108,3,32,up,0.0673672087473901,10.0,3,0.6666666666666666,1
TIMP2,ENSG00000035862,3,30,up,-0.06462903369417493,10.0,3,0.6666666666666666,5
TMEM132C,ENSG00000181234,3,18,up,0.08938640754682894,2.5851127757140544,2,1.0,0
TMEM132D,ENSG00000151952,3,16,down,-0.3700057321366008,10.0,3,1.0,0
TMEM163,ENSG00000152128,3,16,down,-0.3850543576450926,10.0,3,1.0,0
TMEM41B,ENSG00000166471,3,32,down,-0.05860494881407503,10.0,2,1.0,0
TMEM94,ENSG00000177728,3,32,up,0.03454915523959263,10.0,2,1.0,0
TOMM40,ENSG00000130204,3,32,down,-0.12875594502213514,10.0,2,1.0,2
TRPS1,ENSG00000104447,3,4,up,0.2364089356483688,10.0,3,1.0,0
TULP3,ENSG00000078246,3,30,up,0.15439947783351055,10.0,3,0.6666666666666666,0
TUSC1,ENSG00000198680,3,6,down,-0.21667895806979942,10.0,3,1.0,0
VTI1A,ENSG00000151532,3,4,up,0.34480300893945764,10.0,3,1.0,0
WDR70,ENSG00000082068,3,6,down,-0.3020515024159075,10.0,3,1.0,0
XRCC2,ENSG00000196584,3,30,up,0.3878530564368896,10.0,3,0.6666666666666666,0
YAP1,ENSG00000137693,3,4,up,0.6901545157077417,10.0,3,1.0,4
YTHDC2,ENSG00000047188,3,30,down,-0.10610913021028291,10.0,3,0.6666666666666666,0
YWHAQ,ENSG00000134308,3,32,down,-0.17726150649071035,10.0,2,1.0,5
ZBTB16,ENSG00000109906,3,3,up,0.20612210397201455,10.0,3,1.0,3
ZCWPW1,ENSG00000078487,3,32,up,0.11057425814944845,9.293815712262806,2,1.0,0
ZIC5,ENSG00000139800,3,12,up,0.016863960614223225,10.0,2,0.5,0
ZNF232,ENSG00000167840,3,11,up,-0.06180661313754548,5.812284527320185,2,0.5,0
ZNF462,ENSG00000148143,3,4,up,0.3580236172192382,10.0,3,1.0,0
ZNF652,ENSG00000198740,3,4,up,0.26225623742069554,10.0,3,1.0,0
ZNF689,ENSG00000156853,3,30,up,-0.006544758489234324,10.0,3,0.6666666666666666,0
