hgnc_symbol,cluster_id,dataset,tissue,log2fc,pvalue,direction,discovery_direction,concordant,significant,eliminated
COX7C,8,GSE122063,brain,-0.20233969738636226,0.001374110752881741,down,down,True,True,False
ANTXR1,4,GSE122063,brain,0.5294090139366858,0.0003971645495863818,up,up,True,True,False
TENT5A,4,GSE122063,brain,0.39164687312662316,0.0004634678685049298,up,up,True,True,False
GALNT15,4,GSE122063,brain,0.4601508098506475,0.0024454115953664868,up,up,True,True,False
CR1,26,GSE122063,brain,0.6195695950892857,0.004686027356379796,up,up,True,True,False
RPH3A,13,GSE122063,brain,-0.22190645631980654,0.024294981229256774,down,down,True,True,False
ISYNA1,25,GSE122063,brain,0.6142277639740259,1.1769140395578859e-07,up,up,True,True,False
PLXNB1,25,GSE122063,brain,0.285375191686688,0.020332195754233506,up,up,True,True,False
NRN1,13,GSE122063,brain,-0.7640271182743472,2.7267077484793845e-13,down,down,True,True,False
NDUFA13,8,GSE122063,brain,-0.24120903470779353,1.893832974664278e-05,down,down,True,True,False
TRPS1,4,GSE122063,brain,0.5454953305259753,1.6014365034067168e-07,up,up,True,True,False
HSPB2,25,GSE122063,brain,0.7259265417110381,0.0,up,up,True,True,False
WDR70,6,GSE122063,brain,-0.11941170475974161,0.025021038739637902,down,down,True,True,False
GNPNAT1,11,GSE122063,brain,-0.25305636156656064,0.008700100476954908,down,up,False,True,True
NPY,16,GSE122063,brain,-0.8343181718051955,2.4846668203792888e-05,down,down,True,True,False
FARSA,13,GSE122063,brain,-0.7214662490779222,2.398081733190338e-14,down,down,True,True,False
TSPOAP1,24,GSE122063,brain,-0.5245420917045447,3.5438318946034997e-13,down,down,True,True,False
CTSH,26,GSE122063,brain,0.11642506345779147,0.216986522558565,up,up,True,False,False
KLHL29,6,GSE122063,brain,-0.25300007549188486,0.08398356416274133,down,down,True,False,False
C1QTNF4,13,GSE122063,brain,-0.8823965378344152,1.9242052395895826e-10,down,down,True,True,False
STMN4,16,GSE122063,brain,-0.47843297201948154,0.00044603733345827123,down,down,True,True,False
SMARCC1,4,GSE122063,brain,0.4367629266801947,8.55926868947865e-05,up,up,True,True,False
NCKAP5,4,GSE122063,brain,0.5927099468214276,1.230662135265348e-05,up,up,True,True,False
AP2A2,24,GSE122063,brain,0.0038963324512995,0.9344703803375567,up,down,False,False,False
ECHDC3,4,GSE122063,brain,0.15737995827922147,0.3254988940420489,up,up,True,False,False
MDH2,14,GSE122063,brain,-0.6940767284805194,3.5500491435414006e-12,down,down,True,True,False
DHRS11,13,GSE122063,brain,-1.0210955269594155,0.0,down,down,True,True,False
FSTL5,6,GSE122063,brain,-1.0378486417256516,8.102116222374889e-07,down,down,True,True,False
TMEM163,16,GSE122063,brain,-0.9203539154805176,2.7092026400055147e-08,down,down,True,True,False
TSPAN14,26,GSE122063,brain,-0.0029723142857172036,0.9696325274743562,down,up,False,False,False
ADARB2,4,GSE122063,brain,-0.07972114743993508,0.4889761149787679,down,up,False,False,False
CYRIA,6,GSE122063,brain,-0.7314761967597416,5.1047752691602e-09,down,down,True,True,False
LAIR1,26,GSE122063,brain,1.0785799273879846,7.680522884356833e-13,up,up,True,True,False
NECAB1,16,GSE122063,brain,-1.5679700383230522,1.9455548283531243e-10,down,down,True,True,False
SLC12A4,25,GSE122063,brain,0.04116640369318336,0.7398365989855424,up,up,True,False,False
RIMBP2,16,GSE122063,brain,-0.8516218891493503,5.718164941548309e-07,down,down,True,True,False
ATP6V0E2,6,GSE122063,brain,-0.7445408524155841,1.7096968285557068e-10,down,down,True,True,False
NBAS,10,GSE122063,brain,-0.23964946094967665,0.0024615425687590786,down,up,False,True,True
MSN,25,GSE122063,brain,0.6438241475844162,3.376193991044829e-09,up,up,True,True,False
PDE10A,11,GSE122063,brain,0.03659540664772809,0.7823136226868403,up,up,True,False,False
ZNF232,11,GSE122063,brain,-0.10098800575162326,0.11108290333903081,down,up,False,False,False
ATP5PO,8,GSE122063,brain,-0.3480942264772704,1.7673635236636898e-05,down,down,True,True,False
RBMS3,4,GSE122063,brain,-0.01876045820129857,0.8779080285547842,down,up,False,False,False
SV2B,13,GSE122063,brain,-1.0636702028473977,1.4096352929371392e-07,down,down,True,True,False
NDUFS3,8,GSE122063,brain,-0.5095120512499989,4.066080805387173e-12,down,down,True,True,False
AGAP1,12,GSE122063,brain,-0.08225478185064894,0.17574420959020487,down,up,False,False,False
BORCS5,12,GSE122063,brain,-0.2538977195827927,6.897457158316911e-06,down,up,False,True,True
HSPA2,25,GSE122063,brain,0.765992148211037,2.2894042217558308e-10,up,up,True,True,False
PDHB,14,GSE122063,brain,-0.5479630713961043,1.355410672587709e-09,down,down,True,True,False
TRIOBP,25,GSE122063,brain,0.3523616413620134,0.0026740485047744844,up,up,True,True,False
GRN,26,GSE122063,brain,0.025799520129870857,0.7233941095020504,up,up,True,False,False
PILRA,4,GSE122063,brain,-0.19419529264772706,0.050979702713921604,down,up,False,False,False
NDUFA10,8,GSE122063,brain,-0.2891210425324662,6.442164853881494e-05,down,down,True,True,False
RELB,11,GSE122063,brain,0.6188599121444778,0.0012742230927591525,up,up,True,True,False
RBFOX1,16,GSE122063,brain,-0.3978045928360405,3.1905421962186153e-06,down,down,True,True,False
LUZP2,11,GSE122063,brain,-0.2832519961347373,0.002190619127829141,down,up,False,True,True
DACH2,16,GSE122063,brain,-1.4299013343376625,1.2126870840845072e-08,down,down,True,True,False
CYCS,8,GSE122063,brain,-0.5354896928782455,2.478079947465517e-06,down,down,True,True,False
ADAM10,11,GSE122063,brain,0.47848912123051957,8.358711500733307e-10,up,up,True,True,False
DLGAP2,13,GSE122063,brain,-1.3753695968263004,1.2683409877922713e-11,down,down,True,True,False
SLC26A1,4,GSE122063,brain,0.4873726389220776,6.359135220623813e-07,up,up,True,True,False
NSF,24,GSE122063,brain,-1.1063265849350614,3.52057238650616e-06,down,down,True,True,False
SCARA3,25,GSE122063,brain,0.2290183874431797,0.015885445958512268,up,up,True,True,False
VGF,13,GSE122063,brain,-2.2185874341038954,0.0,down,down,True,True,False
CHST12,4,GSE122063,brain,-0.04421661747402794,0.4922868630648676,down,up,False,False,False
AHNAK,4,GSE122063,brain,0.6656883541558454,8.067911680953443e-07,up,up,True,True,False
MSR1,11,GSE122063,brain,1.0963203566623383,8.326672684688674e-14,up,up,True,True,False
APOC1,25,GSE122063,brain,0.5649313883360385,8.494251400970043e-05,up,up,True,True,False
FAR2,16,GSE122063,brain,-1.189420755517859,1.15456644245171e-09,down,down,True,True,False
TAGLN3,13,GSE122063,brain,-1.4986462492711023,8.95914844534218e-08,down,down,True,True,False
AKAP6,16,GSE122063,brain,-0.5193018941785708,0.0052660251198481944,down,down,True,True,False
SEMA3F,25,GSE122063,brain,0.6935202673214294,2.613614928925756e-07,up,up,True,True,False
ABCA8,25,GSE122063,brain,1.08022380350487,3.761967946047662e-07,up,up,True,True,False
IMMP2L,6,GSE122063,brain,-0.10315157360714355,0.3142651267620158,down,down,True,False,False
RBM34,6,GSE122063,brain,0.021849800717534507,0.6736023416255019,up,down,False,False,False
SERPINI1,13,GSE122063,brain,-0.5733461020470791,1.8242007804314397e-05,down,down,True,True,False
LILRA5,4,GSE122063,brain,-0.19228207423051957,0.40219759617140105,down,up,False,False,False
CPLX1,24,GSE122063,brain,-1.0034756502256474,2.1059678445567442e-09,down,down,True,True,False
VTI1A,4,GSE122063,brain,-0.04057475559902457,0.5230317915301006,down,up,False,False,False
MTMR2,6,GSE122063,brain,-0.3711869918782469,2.540810313123032e-05,down,down,True,True,False
LAPTM5,10,GSE122063,brain,0.4304797229675348,0.009711298894323317,up,up,True,True,False
RAPSN,12,GSE122063,brain,-0.08560033472727291,0.2854091196256281,down,up,False,False,False
WNT3,10,GSE122063,brain,-0.013447289199675083,0.8316838815749892,down,up,False,False,False
PRDX6,26,GSE122063,brain,-0.014917945227274743,0.866119954847298,down,up,False,False,False
LINGO1,6,GSE122063,brain,-0.6817897710551932,2.2505775021386398e-11,down,down,True,True,False
ADAMTS20,11,GSE122063,brain,-0.23819161687013013,0.22253834096078773,down,up,False,False,False
ZNF462,4,GSE122063,brain,0.29481578441720835,0.0034722705790506403,up,up,True,True,False
ZNF652,4,GSE122063,brain,0.9090719190600627,1.3322676295501878e-15,up,up,True,True,False
TUSC1,6,GSE122063,brain,-0.2951306832126601,0.009464639886374027,down,down,True,True,False
ARMH3,4,GSE122063,brain,0.12413704905519474,0.0008141160732930697,up,up,True,True,False
TMEM106B,10,GSE122063,brain,-0.2834980552483781,8.079644056024904e-07,down,up,False,True,True
ATP6V1B2,13,GSE122063,brain,-0.7380808685064917,0.0001800406060250559,down,down,True,True,False
PGM5,11,GSE122063,brain,0.5152362156331174,2.5391296176735523e-08,up,up,True,True,False
SLC2A13,16,GSE122063,brain,-1.1111494910227275,4.515645706248961e-06,down,down,True,True,False
SEPTIN10,25,GSE122063,brain,0.5313821273993486,3.311411052298041e-05,up,up,True,True,False
MYO16,6,GSE122063,brain,-0.5158054935746756,4.733763103725863e-05,down,down,True,True,False
PTPRN2,16,GSE122063,brain,-0.732125482711039,8.920670868661773e-10,down,down,True,True,False
RHPN2,25,GSE122063,brain,0.12680232109415712,0.3084499109747978,up,up,True,False,False
CDKAL1,12,GSE122063,brain,0.16473636132305103,0.04516354184542459,up,up,True,True,False
DEDD,11,GSE122063,brain,0.0038801698555213093,0.9502148129328951,up,up,True,False,False
CELF1,25,GSE122063,brain,0.46797297238636126,5.068754127535158e-08,up,up,True,True,False
TENM2,6,GSE122063,brain,-0.4858499812646091,6.919802686411458e-08,down,down,True,True,False
FRAT2,25,GSE122063,brain,0.39930719984740115,6.164620813819965e-09,up,up,True,True,False
SYT1,24,GSE122063,brain,-1.1306275543879885,4.6179652768429946e-07,down,down,True,True,False
SORT1,10,GSE122063,brain,0.020688658863635467,0.7847719350047213,up,up,True,False,False
CLNK,10,GSE122063,brain,-0.2669898063766234,0.339700003040287,down,up,False,False,False
DLAT,14,GSE122063,brain,-0.4191336066542224,3.3232248730641345e-08,down,down,True,True,False
YAP1,4,GSE122063,brain,0.7574526027207753,1.1635083030370197e-07,up,up,True,True,False
SNX18,4,GSE122063,brain,0.47382080190097486,3.975524356381044e-06,up,up,True,True,False
PYGL,26,GSE122063,brain,0.49183655251460934,0.00018662120570733798,up,up,True,True,False
OSBP2,4,GSE122063,brain,-0.07177269864935187,0.36980279353484957,down,up,False,False,False
OLFM3,13,GSE122063,brain,-1.4221814713230518,3.7542143171975795e-08,down,down,True,True,False
SQSTM1,11,GSE122063,brain,0.1497888727581156,0.008533918125592344,up,up,True,True,False
CTNND2,11,GSE122063,brain,-0.16690968298701492,7.59507029255424e-05,down,up,False,True,True
BSCL2,10,GSE122063,brain,-1.046465782670456,8.700073994560853e-10,down,up,False,True,True
CLASRP,4,GSE122063,brain,0.1926045273214303,0.013101446641154313,up,up,True,True,False
TARDBP,10,GSE122063,brain,0.20717171840908932,2.6974179274885657e-05,up,up,True,True,False
SLC25A11,14,GSE122063,brain,-0.3653239101461043,2.575291184747641e-07,down,down,True,True,False
PHYHD1,25,GSE122063,brain,0.23610075679870146,0.1742617665597983,up,up,True,False,False
PUM3,12,GSE122063,brain,0.03343986651785613,0.5799450787750993,up,up,True,False,False
NDUFV1,8,GSE122063,brain,-0.36562559228895886,9.601831774119773e-09,down,down,True,True,False
CHRM3,16,GSE122063,brain,-1.1167252897840898,4.020481059185954e-09,down,down,True,True,False
PLEC,25,GSE122063,brain,0.3411172534837661,9.301125100735774e-05,up,up,True,True,False
STK32B,11,GSE122063,brain,-0.45046366973701346,0.004412202466415938,down,up,False,True,True
RAD23B,6,GSE122063,brain,-0.7262950318344146,5.773159728050814e-15,down,down,True,True,False
SMARCA2,6,GSE122063,brain,0.1733596328733764,0.049371484261682586,up,down,False,True,True
PDE4D,11,GSE63061,blood,-0.003356727245775737,0.800270677963161,down,down,True,False,False
CS,14,GSE63061,blood,0.04808476939499151,0.057044289589489594,up,down,False,False,False
PDHA1,14,GSE63061,blood,0.005633737527630522,0.7509904871364608,up,down,False,False,False
COX6B1,8,GSE63061,blood,-0.02182916014883851,0.36090329651693454,down,down,True,False,False
TMEM132D,16,GSE63061,blood,,,,down,,False,False
DPP6,13,GSE63061,blood,-0.0003206794023453696,0.9509141740558755,down,down,True,False,False
CYYR1,4,GSE63061,blood,,,,up,,False,False
HPR,25,GSE63061,blood,0.0026307202997069012,0.5694797725291296,up,up,True,False,False
MAD1L1,11,GSE63061,blood,0.008950143399946597,0.7452863378383383,up,up,True,False,False
GSN,25,GSE63061,blood,0.05963117033727716,0.018819020779851314,up,up,True,True,False
COX7C,8,GSE63061,blood,-0.40709409027146215,4.4381924713121634e-06,down,down,True,True,False
ANTXR1,4,GSE63061,blood,-0.006016072393712157,0.37881078825895376,down,up,False,False,False
TENT5A,4,GSE63061,blood,0.07351433359563053,0.0036464061390453217,up,up,True,True,False
GALNT15,4,GSE63061,blood,,,,up,,False,False
CR1,26,GSE63061,blood,0.06727508149128791,0.02375338594564136,up,up,True,True,False
RPH3A,13,GSE63061,blood,0.029992667723209188,0.09192389047723726,up,down,False,False,False
ISYNA1,25,GSE63061,blood,0.023306458536904273,0.018830068179070514,up,up,True,True,False
PLXNB1,25,GSE63061,blood,,,,up,,False,False
NRN1,13,GSE63061,blood,-0.0010113532030375794,0.7653384556385783,down,down,True,False,False
NDUFA13,8,GSE63061,blood,-0.03179819636839909,0.10997978410533715,down,down,True,False,False
TRPS1,4,GSE63061,blood,0.0020288308035176783,0.8572200408674511,up,up,True,False,False
HSPB2,25,GSE63061,blood,,,,up,,False,False
WDR70,6,GSE63061,blood,-0.036480498286278085,0.014200837169427105,down,down,True,True,False
GNPNAT1,11,GSE63061,blood,-0.012847137113082496,0.6002415386789186,down,up,False,False,False
NPY,16,GSE63061,blood,,,,down,,False,False
FARSA,13,GSE63061,blood,0.017815709787102563,0.14368743556561414,up,down,False,False,False
TSPOAP1,24,GSE63061,blood,0.05499565972981646,0.0011810025707041927,up,down,False,True,False
CTSH,26,GSE63061,blood,0.05686955019568529,0.12106898146530609,up,up,True,False,False
KLHL29,6,GSE63061,blood,-0.03320527597799039,0.0020156117013705455,down,down,True,True,False
C1QTNF4,13,GSE63061,blood,,,,down,,False,False
STMN4,16,GSE63061,blood,,,,down,,False,False
SMARCC1,4,GSE63061,blood,0.0037753974448175853,0.8326616411095282,up,up,True,False,False
NCKAP5,4,GSE63061,blood,-0.00689519371510805,0.2683926731752664,down,up,False,False,False
AP2A2,24,GSE63061,blood,0.03788771474628305,0.004055509426968307,up,down,False,True,False
ECHDC3,4,GSE63061,blood,0.1246122368229674,1.1828369347544054e-05,up,up,True,True,False
MDH2,14,GSE63061,blood,0.07563734036824066,0.0013151370267447948,up,down,False,True,False
DHRS11,13,GSE63061,blood,-0.007144563426646933,0.5465303458737634,down,down,True,False,False
FSTL5,6,GSE63061,blood,,,,down,,False,False
TMEM163,16,GSE63061,blood,-0.002799760309086352,0.5942364516558609,down,down,True,False,False
TSPAN14,26,GSE63061,blood,0.07434172720223753,0.0001409664898488483,up,up,True,True,False
ADARB2,4,GSE63061,blood,0.011798992197281422,0.07825327696897677,up,up,True,False,False
CYRIA,6,GSE63061,blood,0.03356242361955797,0.1173895496809747,up,down,False,False,False
LAIR1,26,GSE63061,blood,0.010270132158273881,0.5636677022937391,up,up,True,False,False
NECAB1,16,GSE63061,blood,0.011268451492460585,0.09062689855739015,up,down,False,False,False
SLC12A4,25,GSE63061,blood,0.0017559846302148685,0.742938270981037,up,up,True,False,False
RIMBP2,16,GSE63061,blood,,,,down,,False,False
ATP6V0E2,6,GSE63061,blood,-0.0005751001089269181,0.986281425178442,down,down,True,False,False
NBAS,10,GSE63061,blood,0.008422674006820507,0.46357208271466455,up,up,True,False,False
MSN,25,GSE63061,blood,0.11840155979051481,0.0038458829091263524,up,up,True,True,False
PDE10A,11,GSE63061,blood,,,,up,,False,False
ZNF232,11,GSE63061,blood,-0.017809659072687722,0.12875839224002816,down,up,False,False,False
ATP5PO,8,GSE63061,blood,-0.3831043193903554,4.04432043410452e-12,down,down,True,True,False
RBMS3,4,GSE63061,blood,-0.0025427890245675044,0.7394809381177989,down,up,False,False,False
SV2B,13,GSE63061,blood,0.002725186110044575,0.7409500344780953,up,down,False,False,False
NDUFS3,8,GSE63061,blood,-0.08563946065451589,0.0007679323852369802,down,down,True,True,False
AGAP1,12,GSE63061,blood,0.0023218796153479104,0.9026909023326071,up,up,True,False,False
BORCS5,12,GSE63061,blood,-0.006148422046310387,0.1328183559156586,down,up,False,False,False
HSPA2,25,GSE63061,blood,,,,up,,False,False
PDHB,14,GSE63061,blood,-0.0753663877463353,0.0026729283637547674,down,down,True,True,False
TRIOBP,25,GSE63061,blood,0.0747894878991211,0.024603804916168537,up,up,True,True,False
GRN,26,GSE63061,blood,0.13512610508047018,0.005491153208301958,up,up,True,True,False
PILRA,4,GSE63061,blood,0.20093577374047733,9.030162910761419e-07,up,up,True,True,False
NDUFA10,8,GSE63061,blood,0.0205415892114571,0.27568261338276145,up,down,False,False,False
RELB,11,GSE63061,blood,0.06044438214260506,0.0014019473520181513,up,up,True,True,False
RBFOX1,16,GSE63061,blood,-0.006047190727843876,0.14172168565343912,down,down,True,False,False
LUZP2,11,GSE63061,blood,-0.010711384925606637,0.11817516072077261,down,up,False,False,False
DACH2,16,GSE63061,blood,0.004482596520703375,0.2697653759492784,up,down,False,False,False
CYCS,8,GSE63061,blood,-0.005367857585079072,0.6450158201234439,down,down,True,False,False
ADAM10,11,GSE63061,blood,-0.011289496890807271,0.6479809770635547,down,up,False,False,False
DLGAP2,13,GSE63061,blood,,,,down,,False,False
SLC26A1,4,GSE63061,blood,0.0036863057229421514,0.3572307919711015,up,up,True,False,False
NSF,24,GSE63061,blood,0.042817250965201836,0.020033868388358744,up,down,False,True,False
SCARA3,25,GSE63061,blood,,,,up,,False,False
VGF,13,GSE63061,blood,0.00998634109613672,0.04685385288714494,up,down,False,True,False
CHST12,4,GSE63061,blood,0.024676342553158648,0.2973326007835908,up,up,True,False,False
AHNAK,4,GSE63061,blood,0.07584219035758188,0.02953718932251581,up,up,True,True,False
MSR1,11,GSE63061,blood,0.01220696357276907,0.08604109231874979,up,up,True,False,False
APOC1,25,GSE63061,blood,0.006407767592166991,0.4704635982328753,up,up,True,False,False
FAR2,16,GSE63061,blood,0.06429321445243819,0.03284938882870536,up,down,False,True,False
TAGLN3,13,GSE63061,blood,,,,down,,False,False
AKAP6,16,GSE63061,blood,,,,down,,False,False
SEMA3F,25,GSE63061,blood,0.007823995802771933,0.2050692021558005,up,up,True,False,False
ABCA8,25,GSE63061,blood,0.008756204113829824,0.18632447749214665,up,up,True,False,False
IMMP2L,6,GSE63061,blood,-0.013311326377510646,0.07149326146252921,down,down,True,False,False
RBM34,6,GSE63061,blood,-0.11838246758950355,7.3884876545804445e-06,down,down,True,True,False
SERPINI1,13,GSE63061,blood,-0.02629358503591739,0.0011258175878765542,down,down,True,True,False
LILRA5,4,GSE63061,blood,0.08803982917623543,0.09599020542395076,up,up,True,False,False
CPLX1,24,GSE63061,blood,-0.004313665417320145,0.5370793024419918,down,down,True,False,False
VTI1A,4,GSE63061,blood,0.005555796409326241,0.47285786738756386,up,up,True,False,False
MTMR2,6,GSE63061,blood,-0.002245553131521305,0.8184052585567432,down,down,True,False,False
LAPTM5,10,GSE63061,blood,-0.021741543276421638,0.44263811065186864,down,up,False,False,False
RAPSN,12,GSE63061,blood,-0.0006410342802549707,0.9505482930507636,down,up,False,False,False
WNT3,10,GSE63061,blood,-0.007497491483347218,0.11461499336957393,down,up,False,False,False
PRDX6,26,GSE63061,blood,-0.0034491929879543193,0.8866505220950052,down,up,False,False,False
LINGO1,6,GSE63061,blood,-0.006711069982947571,0.24180179873524654,down,down,True,False,False
ADAMTS20,11,GSE63061,blood,,,,up,,False,False
ZNF462,4,GSE63061,blood,-0.0007161811663198847,0.7900917061740018,down,up,False,False,False
ZNF652,4,GSE63061,blood,0.061981609157633955,0.051866766775819695,up,up,True,False,False
TUSC1,6,GSE63061,blood,,,,down,,False,False
ARMH3,4,GSE63061,blood,0.03005262253797003,0.07066858883282623,up,up,True,False,False
TMEM106B,10,GSE63061,blood,-0.02829746181907833,0.2633653326507943,down,up,False,False,False
ATP6V1B2,13,GSE63061,blood,0.0805116712603251,0.027287928786921434,up,down,False,True,False
PGM5,11,GSE63061,blood,-0.017863871173676493,0.590003803639217,down,up,False,False,False
SLC2A13,16,GSE63061,blood,,,,down,,False,False
SEPTIN10,25,GSE63061,blood,0.00341692744988098,0.4307650725144605,up,up,True,False,False
MYO16,6,GSE63061,blood,,,,down,,False,False
PTPRN2,16,GSE63061,blood,-0.03173020983277297,0.03873099299159666,down,down,True,True,False
RHPN2,25,GSE63061,blood,-0.011709454665388641,0.10154147510802769,down,up,False,False,False
CDKAL1,12,GSE63061,blood,-0.02585753298859661,0.005930475821342096,down,up,False,True,False
DEDD,11,GSE63061,blood,0.03102936723783678,0.0727937314163647,up,up,True,False,False
CELF1,25,GSE63061,blood,0.029034186572022058,0.023630426951569028,up,up,True,True,False
TENM2,6,GSE63061,blood,,,,down,,False,False
FRAT2,25,GSE63061,blood,0.1142140856479088,0.01044206462808206,up,up,True,True,False
SYT1,24,GSE63061,blood,,,,down,,False,False
SORT1,10,GSE63061,blood,0.08791055097932343,0.000567530227571611,up,up,True,True,False
CLNK,10,GSE63061,blood,0.004348907627393039,0.442972381769978,up,up,True,False,False
DLAT,14,GSE63061,blood,-0.02393680766091144,0.08103023908986562,down,down,True,False,False
YAP1,4,GSE63061,blood,,,,up,,False,False
SNX18,4,GSE63061,blood,-0.009704125964455912,0.10823504325257849,down,up,False,False,False
PYGL,26,GSE63061,blood,0.08112996019088747,0.06105005463261426,up,up,True,False,False
OSBP2,4,GSE63061,blood,-0.0873385236729547,0.3087535336049143,down,up,False,False,False
OLFM3,13,GSE63061,blood,,,,down,,False,False
SQSTM1,11,GSE63061,blood,0.0948745463909404,0.007550067142376937,up,up,True,True,False
CTNND2,11,GSE63061,blood,,,,up,,False,False
BSCL2,10,GSE63061,blood,0.04332880564242014,0.10427889639009225,up,up,True,False,False
CLASRP,4,GSE63061,blood,0.03014216364444522,0.02760977393811448,up,up,True,True,False
TARDBP,10,GSE63061,blood,0.02219094511905073,0.32658753981555555,up,up,True,False,False
SLC25A11,14,GSE63061,blood,0.024689617496615135,0.0819981961721743,up,down,False,False,False
PHYHD1,25,GSE63061,blood,,,,up,,False,False
PUM3,12,GSE63061,blood,-0.07031028885233148,0.0006299301258878565,down,up,False,True,False
NDUFV1,8,GSE63061,blood,0.03862946908611775,0.09345453520645286,up,down,False,False,False
CHRM3,16,GSE63061,blood,,,,down,,False,False
PLEC,25,GSE63061,blood,0.04196342429656319,0.028947990310953298,up,up,True,True,False
STK32B,11,GSE63061,blood,-0.0028009576900602795,0.500869795641752,down,up,False,False,False
RAD23B,6,GSE63061,blood,0.006959636732959851,0.6323818488221309,up,down,False,False,False
SMARCA2,6,GSE63061,blood,0.00294949198785055,0.9020194644079664,up,down,False,False,False
