hgnc_symbol,ensembl_id,tier,cluster_id,n_datasets_nominal,n_datasets_stringent,n_datasets_fdr_q10,n_datasets_fdr_q05,best_threshold_survived,average_log2fc,direction,GSE33000_log2fc,GSE33000_pvalue,GSE5281_log2fc,GSE5281_pvalue,GSE132903_log2fc,GSE132903_pvalue,GSE63060_log2fc,GSE63060_pvalue,n_brain_datasets_concordant,n_brain_datasets_discordant,n_brain_datasets_nonsig,blood_concordant,eliminated,elimination_reason
ADARB2,ENSG00000185736,3,4,3,2,3,3,4,0.2848471006097111,up,0.1782444289504294,4.440892098500626e-16,0.4832477830398449,0.0201232031377962,0.4795993743439943,3.4637626100675334e-11,-0.0017031838954242,0.889549524577429,2.0,0.0,1.0,True,False,
AHNAK,ENSG00000124942,3,4,3,3,3,3,4,0.5518677557054591,up,0.0278064965524511,2.1604025235433253e-07,1.356695069080602,6.845279898470835e-11,0.8067918315399751,6.661338147750939e-16,0.0161776256488082,0.7007830411246856,3.0,0.0,0.0,True,False,
ANTXR1,ENSG00000169604,3,4,3,3,3,3,4,0.2407151064442767,up,0.0099831246128518,0.0033242784044591,0.4117764986790098,0.0041832989862791,0.5461736864233107,4.5079273647274925e-11,-0.0050728839380651,0.7312717658387795,3.0,0.0,0.0,False,False,
ARMH3,ENSG00000120029,3,4,3,3,3,3,4,0.0561254384810729,up,0.0629476316679432,7.460476680876127e-12,0.0014472526180284,0.9882068824088156,0.1042183832245937,0.0022068857978334,0.0558884864137265,0.0092589288632027,3.0,0.0,0.0,True,False,
CHST12,ENSG00000136213,3,4,3,3,3,3,4,0.2713389233341643,up,0.0905297913188489,0.0,0.5077079962055748,0.0036760563923436,0.4601282174731729,2.5934809855243657e-13,0.0269896883390607,0.4293300408660196,2.0,0.0,1.0,True,False,
CLASRP,ENSG00000104859,3,4,3,3,3,3,4,0.1574116469358759,up,0.0895804805865276,3.46042527965551e-10,0.3639435152527852,0.0088988391579001,0.1678555424844301,3.093825149780294e-05,0.0082670494197607,0.6113151895344111,2.0,0.0,1.0,True,False,
CYYR1,ENSG00000166265,3,4,3,2,3,3,4,0.507999998412659,up,0.1334755659224984,0.0,1.2335921139916834,2.999532178193931e-09,0.1569323153237949,0.0243005504514584,,,3.0,0.0,0.0,,False,
ECHDC3,ENSG00000134463,3,4,3,2,3,3,4,0.1604687347063336,up,0.212288710616992,0.0,0.1942401500357418,0.423649786817061,0.0943892402373229,0.0159571096683102,0.1409568379352777,0.0007514582445751,1.0,0.0,2.0,True,False,
GALNT15,ENSG00000131386,3,4,3,3,3,3,4,0.2666036801968486,up,0.2411758362631374,0.0,0.4760945166912602,0.0009438501095102,0.3348471809721216,3.629997675025365e-05,0.0142971868608752,0.0669139833282508,2.0,0.0,0.0,,False,
LILRA5,ENSG00000187116,3,4,3,3,3,3,4,0.1130007337895302,up,0.0482701449133716,5.814593251329825e-11,0.1043301654159298,0.6354218795232192,0.0858980970847893,0.0002985456497026,0.2135045277440301,1.0649505179927132e-06,1.0,0.0,1.0,True,False,
NCKAP5,ENSG00000176771,3,4,3,3,3,3,4,0.210087327332977,up,0.1017261511987035,5.08926234488172e-13,0.5691799186256823,0.0028523522894401,0.1668098901217138,2.281201586074033e-06,0.0026333493858086,0.8088989827434521,2.0,0.0,0.0,False,False,
OSBP2,ENSG00000184792,3,4,3,3,3,3,4,0.3559232370091096,up,0.0252094620800996,4.55606574689682e-09,1.0083566074138632,3.2004282758624214e-05,0.2022066805670102,6.315878748619497e-05,0.1879201979754654,0.0526217978352532,2.0,0.0,1.0,False,False,
PILRA,ENSG00000085514,3,4,3,3,3,3,4,0.1299872019532695,up,0.1067041392044729,0.0,0.083396352226706,0.6057013295458631,0.1805351871467513,8.896652303747032e-09,0.1493131292351481,0.0019037577721805,1.0,0.0,1.0,True,False,
RBMS3,ENSG00000144642,3,4,3,2,3,3,4,0.2666471929399434,up,0.0505302455509636,9.547918011776346e-14,0.9823046252501212,1.7473333890904992e-09,0.0299476329165813,0.017963626628672,0.0038062680421075,0.6452371706481561,1.0,0.0,1.0,False,False,
SMARCC1,ENSG00000173473,3,4,3,3,3,3,4,0.2742100743210779,up,0.1182729696564964,0.0,0.6468735714302687,7.83361939760141e-08,0.3656395127777205,1.6399326341343112e-11,-0.0339457565801737,0.162809922250056,3.0,0.0,0.0,True,False,
SNX18,ENSG00000178996,3,4,3,3,3,3,4,0.1719231876402439,up,0.0790452994980028,2.4646951146678475e-12,0.5568592745714085,4.99794115600416e-05,0.0502526249522414,4.5658983390595154e-05,0.0015355515393231,0.8532544026190487,2.0,0.0,0.0,False,False,
TENT5A,ENSG00000112773,3,4,3,3,4,3,4,0.2849204094154246,up,0.200400509007935,0.0,0.437788654712679,0.0557606406355808,0.3177960811224505,6.068136002568281e-06,0.1836963928186339,1.2833751616980749e-06,3.0,0.0,0.0,True,False,
TRPS1,ENSG00000104447,3,4,3,3,3,3,4,0.2364089356483688,up,0.1587533424501253,0.0,0.6166947653790302,7.330797191507088e-08,0.1802118737289086,5.186824303393678e-10,-0.010024238964589,0.5502080525058723,3.0,0.0,0.0,True,False,
VTI1A,ENSG00000151532,3,4,3,3,3,3,4,0.3448030089394576,up,0.0894437310293281,0.0,1.246419117149248,1.1350920203767598e-12,0.0473704904203682,0.0007623828590819,-0.0040213028411137,0.7489955876944381,1.0,0.0,1.0,True,False,
YAP1,ENSG00000137693,3,4,3,3,3,3,4,0.6901545157077417,up,0.1848687108626628,0.0,1.5774052268856398,5.773159728050814e-15,0.3081896093749225,0.0001229319346485,,,3.0,0.0,0.0,,False,
ZNF462,ENSG00000148143,3,4,3,3,3,3,4,0.3580236172192382,up,0.0700034627065728,1.7763568394002505e-15,0.8387392157774212,2.1661864257893626e-07,0.5212216375539658,2.0516921495072893e-11,0.0021301528389932,0.783401737833544,3.0,0.0,0.0,False,False,
ZNF652,ENSG00000198740,3,4,3,3,3,3,4,0.2622562374206955,up,0.1515404568255619,0.0,0.3552194328745788,0.0006576510606199,0.5367693887481586,3.241851231905457e-14,0.0054956712344829,0.9097951100233104,2.0,0.0,0.0,True,False,
ATP6V0E2,ENSG00000171130,3,6,3,3,3,3,4,-0.2255603792351504,down,-0.1438516248837066,0.0,-0.6208432034692422,3.0739249408107128e-06,-0.1595651798474673,0.0001250754836203,0.0220184912598142,0.5928067081799528,2.0,0.0,0.0,True,False,
CYRIA,ENSG00000197872,3,6,3,3,3,3,4,-0.1880817759828647,down,-0.1240387337549825,0.0,-0.5155728918946618,0.0006954428157641,-0.1327024069095328,4.609837707536535e-05,0.0199869286277181,0.3382529793066129,2.0,0.0,1.0,False,False,
FSTL5,ENSG00000168843,3,6,3,2,3,2,4,-0.2864762030655512,down,-0.1895378219385329,0.0,-0.4198957317403398,0.0454783354033614,-0.5288428229654958,1.1251541476298145e-07,-0.0076284356178364,0.2386326035994161,2.0,0.0,1.0,,False,
IMMP2L,ENSG00000184903,3,6,3,3,3,3,4,-0.1788544403700432,down,-0.0929723102115862,0.0,-0.5149358378488822,0.0072689294400467,-0.0928059450915217,0.0005627090910418,-0.0147036683281829,0.1519095862654853,2.0,0.0,1.0,True,False,
KLHL29,ENSG00000119771,3,6,3,2,3,3,4,-0.2083308457522984,down,-0.0875236508774255,2.1760371282653068e-14,-0.3791982922248298,0.0075316659881912,-0.15827059415464,0.0143689316389727,,,1.0,0.0,1.0,True,False,
LINGO1,ENSG00000169783,3,6,3,2,3,3,4,-0.2443590894384029,down,-0.201392460182932,0.0,-0.3190562052958654,0.018808179343535,-0.4488260088071758,7.0417902620079076e-09,-0.0081616834676383,0.3046477452501368,3.0,0.0,0.0,True,False,
MTMR2,ENSG00000087053,3,6,3,3,3,3,4,-0.1532202419399847,down,-0.044993720389663,0.0,-0.4066282888579628,0.00852543008904,-0.1695870587109214,6.856669276800177e-08,0.0083281001986081,0.4315329865049198,2.0,0.0,0.0,True,False,
MYO16,ENSG00000041515,3,6,3,3,3,3,4,-0.2417694851185627,down,-0.1616605747788576,0.0,-0.6686732618069264,4.9589485214163176e-05,-0.1344252744982128,0.0003312856634423,-0.002318829390254,0.7732486226151178,2.0,0.0,0.0,,False,
RAD23B,ENSG00000119318,3,6,3,3,3,3,4,-0.2846474970327473,down,-0.0503308138891247,7.427569670426237e-11,-0.6845975940826712,3.898172688865387e-06,-0.3808259665690077,5.481929576944822e-09,-0.0228356135901854,0.1883400790330878,3.0,0.0,0.0,False,False,
RBM34,ENSG00000188739,3,6,3,3,3,3,4,-0.054905935275138,down,-0.0196878275254551,0.000198996336389,0.0621808950512385,0.8038431565693862,-0.0989095584447703,0.0026262907085308,-0.1632072501815651,3.736846387880632e-10,0.0,0.0,3.0,True,False,
TENM2,ENSG00000145934,3,6,3,3,3,3,4,-0.2136258215223036,down,-0.04469437375797,0.0,-0.6592069758067112,4.828597685913039e-06,-0.1386069202533137,0.0073908205476866,-0.0119950162712196,0.1461901323265027,2.0,0.0,0.0,,False,
TUSC1,ENSG00000198680,3,6,3,3,3,3,4,-0.2166789580697994,down,-0.0434214374028929,1.1179945857975326e-12,-0.3925414911683802,0.0017603683368596,-0.2140739456381251,1.3991386293987773e-07,,,2.0,0.0,0.0,,False,
WDR70,ENSG00000082068,3,6,3,3,3,3,4,-0.3020515024159075,down,-0.0282389259062588,2.8362293624795143e-08,-1.047597265277938,3.483879851273741e-13,-0.1034078051770457,0.0019874269451225,-0.0289620133023875,0.0714624270226587,2.0,0.0,1.0,True,False,
COX7C,ENSG00000127184,1,8,4,3,4,4,4,-0.4085461129326332,down,-0.060962237150475,0.0,-0.6398205126603198,2.793729749317464e-06,-0.1412733996890391,0.010854016478746,-0.7921283022306991,1.4181476881702793e-08,2.0,0.0,1.0,True,False,
ATP5PO,ENSG00000241837,2,8,3,3,3,3,4,-0.3316163178590322,down,-0.0728569058211222,0.0,-0.053738937164919,0.6380862763407844,-0.5260576933195829,1.5995684776726191e-09,-0.6738117351305046,0.0,3.0,0.0,0.0,True,False,
COX6B1,ENSG00000126267,2,8,3,3,3,3,4,-0.3713292424121129,down,-0.1075433261182453,0.0,-0.9738180861850374,4.2828629531754814e-10,-0.3622853742072376,2.0872192862952943e-14,-0.0416701831379313,0.1556554852166161,3.0,0.0,0.0,True,False,
NDUFA13,ENSG00000186010,2,8,3,3,4,3,4,-0.3085503356729407,down,-0.0889867028475007,0.0,-1.1225374876833278,4.689670873858631e-11,0.0966776635470232,0.068258951410685,-0.1193548157079575,0.0006005937912578,3.0,0.0,0.0,True,False,
NDUFS3,ENSG00000213619,2,8,4,4,4,4,4,-0.3779452776840472,down,-0.1237730830751446,0.0,-1.0915818501204484,1.892024314997797e-10,-0.138362584597095,7.921903317775758e-07,-0.1580635929435008,4.394042631972184e-07,3.0,0.0,0.0,True,False,
NDUFV1,ENSG00000167792,2,8,4,3,3,3,4,-0.4190910186648499,down,-0.1739081097629957,0.0,-1.1563405254231274,8.126832540256147e-14,-0.4120865543318963,1.879721711617321e-09,0.0659711148586197,0.0348483433417015,3.0,0.0,0.0,False,False,
CYCS,ENSG00000172115,3,8,3,3,3,3,4,-0.2502077225483499,down,-0.1381613106436203,0.0,-0.6967287755626757,1.8523467981701458e-07,-0.1889531228215872,0.0002466171147665,0.0230123188344837,0.1249277251368627,3.0,0.0,0.0,True,False,
CLNK,ENSG00000109684,1,10,2,2,2,2,4,-0.0426645205015264,up,0.0766414122291987,4.433617917243282e-09,-0.0470677268035992,0.7907664815060471,-0.1776441389234166,8.992243896166485e-07,-0.0225876285082886,0.058402140163936,1.0,0.0,1.0,True,False,
SORT1,ENSG00000134243,1,10,2,2,2,2,4,-0.1103683789103891,up,0.1089725154102473,0.0,-0.5681116010604121,0.0010732988772386,-0.0471241553966965,0.411073234632056,0.0647897254053049,0.0851234156978579,2.0,0.0,1.0,True,False,
LAPTM5,ENSG00000162511,2,10,3,3,3,3,4,0.1063294129324438,up,0.2911107246075467,0.0,-0.1107079648857709,0.5459402909278372,0.3466765336432775,2.9254917821575084e-08,-0.101761641635278,0.0004131783441478,3.0,0.0,0.0,False,False,
TARDBP,ENSG00000120948,2,10,2,2,2,2,4,-0.1074355857910348,up,0.0518875531818923,0.0,-0.4125881797043504,0.0037851710045995,-0.053569737557332,0.0850637372692983,-0.0154719790843493,0.5099743402794759,3.0,0.0,0.0,True,False,
ADAMTS20,ENSG00000173157,3,11,2,2,2,2,4,0.058929877857819,up,0.0271004093111279,3.9411822694290777e-07,0.2555646591041816,0.2332845949859832,-0.0502679470167262,4.1758480402664944e-05,0.003322390032693,0.7019109363858727,2.0,0.0,1.0,,False,
DEDD,ENSG00000158796,3,11,2,2,3,2,4,0.0337193047192352,up,0.0332443627350852,1.6544415482044888e-07,0.1479753825600287,0.0539194446584443,-0.0651757757881332,0.0050799003689143,0.0188332493699601,0.4031320705343388,2.0,0.0,1.0,True,False,
PDE10A,ENSG00000112541,3,11,2,2,2,2,4,-0.2430545072531071,up,0.0459303857303965,3.2473357336471054e-11,-0.7684631491753287,0.0001852687880585,,,-0.0066307583143894,0.3525474303260247,1.0,0.0,1.0,,False,
PDE4D,ENSG00000113448,3,11,3,2,4,2,4,-0.1089524900392597,down,-0.0260788096295561,6.440034461263623e-08,-0.1899840026519168,0.0520802594545655,-0.2661481630713229,0.0001541160917177,0.046401015195757,0.0202219115054744,2.0,0.0,0.0,True,False,
RELB,ENSG00000104856,3,11,2,2,2,2,4,0.1005457627283424,up,0.0081146752623299,0.4536449221713916,0.3790337258990019,0.0735394964467828,-0.1004013502634117,6.666540669364451e-05,0.1154360000154497,0.0001521255828844,1.0,0.0,1.0,True,False,
SQSTM1,ENSG00000161011,3,11,2,2,2,2,4,-0.0531396595949749,up,-0.0042855805134662,0.5264886333482328,-0.3998656369198734,0.0022916329851283,0.0595094434420353,0.0972965603904074,0.1320831356114045,0.0030885768199508,1.0,0.0,1.0,True,False,
ZNF232,ENSG00000167840,3,11,2,2,2,2,4,-0.0618066131375454,up,-0.0035160078734322,0.6121343670810426,-0.3584329594086934,0.0009077230994369,0.1347252231074076,1.5406907412085502e-06,-0.0200027083754639,0.0540061204861488,1.0,0.0,2.0,False,False,
CDKAL1,ENSG00000145996,3,12,2,2,2,2,4,-0.024481349617052,up,0.0770006594993445,0.0,-0.085885782226291,0.7376325542099496,-0.0700094014289929,8.909819269042885e-07,-0.0190308743122686,0.1968804931563101,2.0,0.0,1.0,False,False,
PUM3,ENSG00000080608,3,12,2,2,3,2,4,-0.0450007622983795,up,0.0299362197982576,0.0001864927063834,-0.0547193871291833,0.6001291170342136,0.0453693004885344,0.069083740942839,-0.200589182351127,2.268141230388209e-11,1.0,0.0,2.0,False,False,
RAPSN,ENSG00000165917,3,12,2,2,2,2,4,0.0268344116240502,up,0.0470884772588041,3.1308378112271384e-10,0.1365062697187213,0.56342553751678,-0.1014852264986325,0.0002451489119708,0.0252281260173079,0.0702962106333875,1.0,0.0,2.0,False,False,
ATP6V1B2,ENSG00000147416,2,13,3,3,3,3,4,-0.6700856177974172,down,-0.3826405231274296,0.0,-1.6393169993529677,0.0,-0.6728285242019769,1.0746958878371517e-12,0.0144435754927059,0.6753502292470721,3.0,0.0,0.0,False,False,
