gene,cluster_id,random_effect,random_se,random_p,fixed_effect,fixed_se,fixed_p,i_squared,tau_squared,cochran_q,n_datasets,direction
AKAP12,1,-2.7637279427687007,0.686679180054661,5.703025829021416e-05,-2.2642147972096036,0.15970399207324512,1.2613623903501722e-45,93.49536826636356,1.286012992978461,30.747321015234345,3,down
HSPB7,1,-2.651836044341524,1.1014626993755787,0.01605958264955592,-1.657520948450133,0.13652527632370656,6.422476663600745e-34,97.73224330151287,3.5235317179505428,88.19288247871765,3,down
KLF4,1,-2.199304282802667,0.41160726553284477,9.131459302601225e-08,-2.0241531833736297,0.18794925366406662,4.7866566072544034e-27,74.71474166544053,0.36201547973637466,7.909747148070199,3,down
MME,1,-2.602996127535424,0.8467996776579841,0.0021126468662856774,-1.6785440300647598,0.11256260505644805,2.749956519194991e-50,97.58004850256081,2.066110952074311,82.64628452745511,3,down
PID1,1,-2.3025288652215914,0.44057834354252257,1.730752142868815e-07,-2.1423728854181405,0.15488002877269455,1.6235544230515373e-43,86.16825560863926,0.4934688280189824,14.459492189930817,3,down
TNS1,1,-2.2184771179942264,0.6711329039087793,0.0009478326123753501,-1.846579088832713,0.1267378960193512,4.354912716290164e-48,94.97752128930689,1.2111468582371718,39.82097516395447,3,down
CDH1,2,2.9310786994588622,0.7693743338877836,0.00013914041724683875,2.5708483751104363,0.234462003486746,5.637358360363291e-28,85.53942370070513,1.4933167750855143,13.830707425523034,3,up
ENO2,2,0.9961879462370014,0.4531482141283154,0.027922670126357355,1.01175645072878,0.12620118133637598,1.0834808210327943e-15,92.2370374906181,0.5681760915842146,25.763360283949687,3,up
EPCAM,2,3.1401508268346934,0.7111794995780593,1.0081757117057366e-05,2.6018770384142864,0.20604539528186214,1.4857916144592435e-36,85.87865257333814,1.2682569209847367,14.162954423342727,3,up
KRT19,2,4.2225392238382655,0.7971229989780566,1.1757631278394613e-07,4.147936848347306,0.32962844599744284,2.596669918552781e-36,81.25768563935496,1.5302824563741115,10.671040734433435,3,up
MELK,2,2.2466750582493,0.28829554139794555,6.545836222466942e-15,2.216059605763486,0.1568611549513401,2.5702623246728195e-45,69.36792774218839,0.17246102812189928,6.529104473139167,3,up
PRC1,2,2.4440614499253006,0.5167849359652777,2.252298938188642e-06,2.551311204335593,0.14733571415567887,3.543523620946947e-67,91.72016850493618,0.7337434385450854,24.155080948112776,3,up
TOP2A,2,2.7766533078952036,1.0695368989787324,0.009428129016594754,2.227929107903186,0.18279378110648498,3.592223695145354e-34,96.71828228496295,3.2911248982250583,60.943693933084774,3,up
TRPS1,2,1.6288354678015846,0.6624061940472039,0.013933713428221844,1.2634103638361993,0.11491434344294929,4.067614460802094e-28,95.97576061301667,1.2572447506768838,49.69883269044904,3,up
CBX6,4,-0.013789203981591789,0.26579925046052716,0.958625692879418,-0.012294463672038502,0.07901321634484884,0.8763482530231249,91.12135061366982,0.19306112259114044,22.5259486322239,3,down
CFLAR,4,-0.013921245766981115,0.4334787318507386,0.9743802009527521,-0.20316937924319645,0.09860783381541835,0.03936244957840709,94.4298236969264,0.5309098266770278,35.9055062385801,3,down
RFC1,4,-0.34795423835318984,0.17082363235190168,0.04165796265660858,-0.3460865294536449,0.07465279057708257,3.5530357748312465e-06,61.02959586213908,0.05363051555038052,5.132099715786474,3,down
RPS23,4,-0.14198601488818544,0.10920299884410316,0.19353156529237836,-0.1698261915534782,0.04318496788421864,8.405640618453922e-05,81.11460378754767,0.028473687300030873,10.590193488666518,3,down
SIAH2,4,0.5856357485203707,0.4276499031047828,0.17086552896889562,0.2672341879069034,0.09412326728034942,0.00452276924780142,93.83974631839878,0.511877701233052,32.46619544213551,3,up
ASXL1,5,-0.06248658840479215,0.2663926191851651,0.8145457841035684,-0.26351671683995603,0.05993593711235801,1.0993964365047432e-05,93.94702120410052,0.19810975806258718,33.04158278821125,3,down
BCL2L1,5,0.3508989812065438,0.32080829708472336,0.27404425497868823,0.2667920380298209,0.06195357067969995,1.6599121682750134e-05,95.95041123887508,0.2954794959090899,49.38773090244417,3,up
LYPD3,5,0.7402199667494938,0.45145472573217327,0.10108154324323708,0.4229902528726911,0.09185350184101683,4.123606392170687e-06,94.98391914846387,0.5782032843544479,39.871765611344095,3,up
PIK3CA,5,-0.6820039276564234,0.3797802722229824,0.07252862863417728,-0.6688154426304126,0.10878663286185321,7.84877505825449e-10,88.34389810631997,0.3761208066186121,17.15839496122117,3,down
PRLR,5,1.7768202873472754,1.1774764645224929,0.13129698090137945,0.2001490691276016,0.09890417551185847,0.04300447514181288,97.69339709693612,4.040587924645602,86.7075991859453,3,up
TACC3,5,0.74478709478102,0.4876876676512955,0.1267161345328793,0.29885161051356696,0.08006983231152257,0.00018967370575518594,96.25093470207506,0.6826989618452184,53.346630188249115,3,up
FILIP1L,7,-1.182749367423181,0.45248813693113077,0.008952065980036755,-0.6910206467751885,0.10264540012406884,1.6721429264801112e-11,92.49753859157649,0.5447640936758283,26.65791786352233,3,down
SERINC1,7,-1.1058453383507783,0.2710238630721401,4.498713251095648e-05,-0.9894008800832578,0.1300863459318513,2.8331271351392795e-14,57.86440441090747,0.12859580291122943,4.746580585935118,3,down
SERPINF1,7,-1.7889692422097179,0.38069906996017433,2.612223119718594e-06,-1.544748391550174,0.15834253251217842,1.7432665014646238e-22,77.82474374198549,0.3284682247009209,9.01906150138475,3,down
TNNT3,7,-0.647764200991809,0.10981620876617987,3.6655199440127885e-09,-0.6316846793818623,0.08046657794257588,4.151295266199923e-15,29.978250510313675,0.012033602567657445,2.8562553986095205,3,down
ZFPM2,7,-1.6356482887170936,0.46301257346825525,0.0004114607124330906,-1.3551717716628486,0.13718108710189011,5.149299868636441e-23,90.03751805686807,0.5733618986298398,20.075318694843773,3,down
ABCA1,8,-1.069071573379146,0.4605638181584833,0.02027478269560707,-0.7538391300098338,0.09430793422338553,1.3128895181754413e-15,94.96962969588914,0.6014164669584008,39.758504425918396,3,down
CD248,8,-1.334698306776302,0.4819888706300624,0.0056203173709713046,-0.8580862375468385,0.10266585810558237,6.376414797190991e-17,93.52233686082938,0.6306824538242239,30.87533199906521,3,down
EGFR,8,-1.7130702597611982,0.8317484203980389,0.03943665669013158,-0.7430149211468767,0.11181416857262648,3.03037231174013e-11,96.15004663217212,1.977025770148651,51.94868116359513,3,down
IGF1,8,-2.336396251852001,0.9264559520773397,0.011673470928844305,-1.3547993267327045,0.13428489066042879,6.180020567267834e-24,96.82742507524864,2.4731815294769435,63.04027635081764,3,down
INHBB,8,-0.8825966552916698,0.27723370522871443,0.0014546414135734554,-0.9091516973258846,0.11406819035426584,1.5835703258425693e-15,82.0389034341716,0.18744109213179921,11.135177591579062,3,down
PPP2R1B,8,-1.8114702877824782,0.6698684588763282,0.006846537288301574,-0.7454205471597429,0.09252501982711964,7.856048902937345e-16,96.542849327779,1.2490410380680386,57.8511088935306,3,down
PTEN,8,-0.9827414973158911,0.09602031211015578,1.3858822176770248e-24,-0.9827414973158911,0.09602031211015578,1.3858822176770248e-24,0.0,0.0,1.5891166512887425,3,down
SGCG,8,-2.6217094314736467,0.8975170299848801,0.003488322385658649,-1.6598232831882989,0.17000700953183134,1.6186053800284827e-22,94.76279999954234,2.2502960856316836,38.1883449137941,3,down
VGLL3,8,-2.068480947614641,0.5549487583726929,0.00019351376099172355,-1.6427620264770397,0.15145756712340813,2.0754521375781615e-27,91.04194195234795,0.8250657956388998,22.326267471823417,3,down
EGR2,9,-0.7339025351768929,0.28004917278688246,0.00877699682066714,-0.61881357003099,0.14900121855509693,3.28033947701146e-05,68.39982918332895,0.16004600240713512,6.329079711635217,3,down
MYO5A,9,-0.388934377593027,0.12411069127944879,0.0017257598896482445,-0.37085222866748774,0.08791250494054095,2.4601576767762684e-05,45.99078979577184,0.021180027191681907,3.7030721101776605,3,down
PKNOX2,9,-0.29868486270639133,0.06616664011070116,6.357699578121773e-06,-0.2986673173655085,0.06035780334140372,7.487211215443193e-07,14.570254645462107,0.0019879405921577414,2.341104953198556,3,down
SMAD7,9,-0.5037713226124214,0.11055383327828991,5.193969683019829e-06,-0.5037713226124214,0.11055383327828991,5.193969683019829e-06,0.0,0.0,0.11335889381185801,3,down
SRGAP2C,9,-0.2939032287103168,0.10126721034823188,0.003704872829114837,-0.2658469650671744,0.059344733991509364,7.474589728334962e-06,58.34101660397481,0.01742244091789256,4.800885276021464,3,down
ACBD6,10,0.48656451278047025,0.0938308717782848,2.153803167441982e-07,0.48656451278047025,0.0938308717782848,2.153803167441982e-07,0.0,0.0,0.009667912975195907,2,up
IRX3,10,1.8262582376053518,0.8360895712321764,0.02894128344873878,1.507406326982537,0.2800204630974903,7.317290937985157e-08,86.11166670970796,1.2084744879018046,7.200288033834857,2,up
PLK2,10,0.6893926391072264,0.3811438142558117,0.07049035489347974,0.5276852179762865,0.1374269580992736,0.00012315945674052343,86.09343473513935,0.37167156542616714,14.38169642833112,3,up
SGSM3,10,0.41235120801198577,0.20020694419670168,0.03943441363419972,0.33548006193577523,0.0618585830222787,5.8495923523636504e-08,85.88604993640232,0.1016033470763862,14.170377470431498,3,up
TAF5L,10,0.231450437169833,0.073525013770414,0.0016443993494124622,0.24133264350762845,0.04334655628946829,2.5839643264436824e-08,57.608652086602255,0.009211407397088426,4.717943869314667,3,up
TFRC,10,0.6042138658359615,0.15442932297066153,9.132314701411874e-05,0.5962545722581292,0.10873934573752717,4.1737479383394676e-08,50.10873868792183,0.03584548650842634,4.0087180548306165,3,up
TPM4,10,0.7706804522930041,0.32880334270679834,0.019083552116386734,0.5857664151682046,0.11798808997425046,6.883456022930739e-07,85.06708173296306,0.26827727616966085,13.393229402552997,3,up
AKAP9,11,0.5275036295252633,0.1214139089234687,1.3948381853948277e-05,0.5221157034330899,0.10491239126302296,6.468315666801403e-07,24.930346134831012,0.0110616001680118,2.664192382706543,3,up
BHLHE40,11,0.9413529500338895,0.28172972493889553,0.0008337702644907409,0.8331851130749478,0.1378335691596111,1.4953653707918757e-09,73.72818713813732,0.17237842389293048,7.612721704878188,3,up
CHD1L,11,0.5581218609323886,0.10505722021263936,1.0810104244205447e-07,0.5427270975280624,0.07412576883821255,2.448378327392328e-13,46.64702434115374,0.015535219386378956,3.748619407450777,3,up
MRPS30,11,0.8419773813448156,0.22807107854502318,0.00022273177940517247,0.7551117788426277,0.1244175090055561,1.2856806510411758e-09,66.18737956901978,0.10271656195606152,5.914951206111005,3,up
MSH6,11,0.5382171019701786,0.07911653406711815,1.025767401562524e-11,0.5382171019701786,0.07911653406711815,1.025767401562524e-11,0.0,0.0,0.9719758761544818,3,up
NR2F6,11,0.6438932839751794,0.21606891856205437,0.0028821395142410978,0.502593065451881,0.09716051749383313,2.305973233792136e-07,70.27354920824959,0.09337694395709842,6.72801477045162,3,up
RPN1,11,0.4142173757439093,0.07783240207378504,1.026809305379311e-07,0.4046817228072523,0.06754136803562538,2.0777018171353104e-09,13.241051678704812,0.002990873942152347,2.3052377174898226,3,up
TASOR2,11,0.7863372837602344,0.1931861156826386,4.6940286991304325e-05,0.7075174097150626,0.1038326384594575,9.491018876479015e-12,66.9561358533626,0.07277824659832668,6.052560896403284,3,up
TGIF1,11,0.8003250044842429,0.15900041816640503,4.816617335602319e-07,0.7366106243994032,0.10342645098220885,1.0631653506376851e-12,46.60937633209804,0.03611604656129775,3.7459760958034747,3,up
ZNF217,11,0.8059320608599639,0.2199504820151802,0.00024815911407564435,0.7706050318734087,0.10385819236720067,1.1731424101526757e-13,77.22509996689297,0.1117669880535587,8.781597271964632,3,up
ANKRD35,12,-1.8606986230744864,0.6620269800726319,0.004944792148301234,-1.4868028938057813,0.10865542312715386,1.2714483734485628e-42,95.87870558956226,0.8409291581798191,24.264221392855703,2,down
CCNG1,12,-0.6947445888881635,0.35072006787699234,0.04760146363305736,-0.6628509024320596,0.07549396900585305,1.6320813368764958e-18,95.13738962948412,0.35055010916975915,41.1301718132069,3,down
CDKN2B,12,-1.792086777274907,0.8707656210657341,0.03958449724092817,-0.8095729108960368,0.13137667540286221,7.172887448996715e-10,96.11185216954074,2.1196752325467907,51.43837341605824,3,down
EBF1,12,-3.9279263419238784,0.5942523767787092,3.846778445008278e-11,-3.6613963534164036,0.21668699357543703,4.720464349583527e-64,81.15058034491994,0.5793641610902407,5.305203121892894,2,down
JAZF1,12,-1.5418178640049365,0.6205000344049745,0.012962460158545163,-1.3548517751160898,0.1392469584171703,2.2492824932410833e-22,94.39461668889142,0.7271095710960633,17.839993172603037,2,down
LIFR,12,-1.6228225695797547,0.9042406693077927,0.07270471204010101,-1.046237359765153,0.10860073888500175,5.756284626278289e-22,98.17299518234476,2.3895711097095,109.46878632574055,3,down
PPP2R3C,12,-0.8345734472695201,0.5033134495875884,0.09728548967954684,-0.6703681183874435,0.09567730984373202,2.442614956800506e-12,95.92001825165107,0.7271336838102359,49.019827130583515,3,down
TIMP3,12,-1.0474878572815332,0.11782806179771863,6.112577109071297e-19,-1.0474878572815332,0.11782806179771863,6.112577109071297e-19,0.0,0.0,0.5427690815657761,3,down
VEGFC,12,-0.9145861985378335,0.43158505621041515,0.03407921609844469,-0.5323972627407754,0.08927091339435372,2.4638106728600922e-09,94.1863220902155,0.5107779750790079,34.4016306206777,3,down
NCOA4,13,-0.5485810761331564,0.23085670938336422,0.01748800283847813,-0.49351112720411594,0.06404289543185786,1.298770142770795e-14,91.01259521090243,0.14425115356468243,22.253365091846746,3,down
PHLDA3,13,-0.8265348537785725,0.275670332790904,0.0027151453845300163,-0.7994597743822526,0.09965482195893274,1.0379265451709581e-15,86.56514635808125,0.19683891793697988,14.886652681944394,3,down
PNPLA2,13,-0.653010252297141,0.2752367703905168,0.017666249272524904,-0.6522709172444076,0.08876432547524922,2.0067548513630066e-13,89.42716259793275,0.20297160737304262,18.91639797287482,3,down
PSIP1,13,-0.548814401654583,0.3076759479871325,0.07446565572174553,-0.49033654283169775,0.09200030694398274,9.836037399865769e-08,89.44941462119435,0.2461408551628781,18.95629415992088,3,down
STRADB,13,-1.3138627462913972,0.5227981867898178,0.011966332257512232,-1.0140589660975698,0.12100749621664864,5.2867729153932534e-17,91.18170380621773,0.4999650001949568,11.340059100136536,2,down
